game_id,day,team1,team2,winner,
R64_G1,1,Duke,Siena,,
R64_G2,1,Ohio State,TCU,,
R64_G3,2,St. John's,Northern Iowa,,
R64_G4,2,Kansas,Cal Baptist,,
R64_G5,1,Louisville,South Florida,,
R64_G6,1,Michigan State,North Dakota State,,
R64_G7,2,UCLA,UCF,,
R64_G8,2,Connecticut,Furman,,
R64_G9,2,Florida,Lehigh,,
R64_G10,2,Clemson,Iowa,,
R64_G11,1,Vanderbilt,McNeese,,
R64_G12,1,Nebraska,Troy,,
R64_G13,1,North Carolina,VCU,,
R64_G14,1,Illinois,Penn,,
R64_G15,1,Saint Mary's,Texas A&M,,
R64_G16,1,Houston,Idaho,,
R64_G17,2,Arizona,LIU,,
R64_G18,2,Villanova,Utah State,,
R64_G19,1,Wisconsin,High Point,,
R64_G20,1,Arkansas,Hawaii,,
R64_G21,1,BYU,Texas,,
R64_G22,1,Gonzaga,Kennessaw State,,
R64_G23,2,Miami (FL),Missouri,,
R64_G24,2,Purdue,Queens,,
R64_G25,1,Michigan,UMBC,,
R64_G26,1,Georgia,Saint Louis,,
R64_G27,2,Texas Tech,Akron,,
R64_G28,2,Alabama,Hofstra,,
R64_G29,2,Tennessee,SMU,,
R64_G30,2,Virginia,Wright State,,
R64_G31,2,Kentucky,Santa Clara,,
R64_G32,2,Iowa State,Tennessee State,,
R32_G1,3,W:R64_G1,W:R64_G2,,
R32_G2,4,W:R64_G3,W:R64_G4,,
R32_G3,3,W:R64_G5,W:R64_G6,,
R32_G4,4,W:R64_G7,W:R64_G8,,
R32_G5,4,W:R64_G9,W:R64_G10,,
R32_G6,3,W:R64_G11,W:R64_G12,,
R32_G7,3,W:R64_G13,W:R64_G14,,
R32_G8,3,W:R64_G15,W:R64_G16,,
R32_G9,4,W:R64_G17,W:R64_G18,,
R32_G10,3,W:R64_G19,W:R64_G20,,
R32_G11,3,W:R64_G21,W:R64_G22,,
R32_G12,4,W:R64_G23,W:R64_G24,,
R32_G13,3,W:R64_G25,W:R64_G26,,
R32_G14,4,W:R64_G27,W:R64_G28,,
R32_G15,4,W:R64_G29,W:R64_G30,,
R32_G16,4,W:R64_G31,W:R64_G32,,
S16_G1,6,W:R32_G1,W:R32_G2,,
S16_G2,6,W:R32_G3,W:R32_G4,,
S16_G3,5,W:R32_G5,W:R32_G6,,
S16_G4,5,W:R32_G7,W:R32_G8,,
S16_G5,5,W:R32_G9,W:R32_G10,,
S16_G6,5,W:R32_G11,W:R32_G12,,
S16_G7,6,W:R32_G13,W:R32_G14,,
S16_G8,6,W:R32_G15,W:R32_G16,,
E8_G1,8,W:S16_G1,W:S16_G2,,
E8_G2,7,W:S16_G3,W:S16_G4,,
E8_G3,7,W:S16_G5,W:S16_G6,,
E8_G4,8,W:S16_G7,W:S16_G8,,
F4_G1,9,W:E8_G1,W:E8_G2,,
F4_G2,9,W:E8_G3,W:E8_G4,,
Championship,10,W:F4_G1,W:F4_G2,,
